pdbcode,resolution,year,pK,comment
4jsz,1.90,2013,2.30,(FB2)
1m0o,2.40,2002,2.31,(MPM)
4y0a,1.91,2015,2.31,(SKM)
5mz8,2.20,2017,2.31,(SIN)
5aol,1.50,2015,2.32,(UFV)
4iie,2.00,2013,2.34,(CGB)
3gtc,1.90,2009,2.35,(GTC)
4y3y,1.35,2016,2.35,(DCL)
3g2z,1.50,2009,2.36,(GZ2)
5fsc,1.95,2017,2.36,(G8Z)
3t0d,1.93,2012,2.37,(149)
6rnt,1.80,1993,2.37,(2AM)
3f6e,1.34,2008,2.38,(8PA)
6md8,1.40,2019,2.38,(J84)
1f73,1.95,2000,2.39,(HMN)
1nwl,2.40,2003,2.39,(964)
4u5s,2.12,2015,2.41,(3D0)
4u5o,2.00,2015,2.42,(3D5)
6mli,1.88,2019,2.43,(ARG)
1oba,2.45,2003,2.44,(CHT)
3mjl,1.90,2010,2.44,(2AI)
4ddm,1.83,2013,2.46,(0HO)
4x8u,2.10,2015,2.46,(3ZB)
1utl,1.70,2004,2.47,(PRA)
4y4j,1.03,2016,2.47,(LNR)
6fhq,1.95,2018,2.47,(DE5)
1gyx,1.35,2002,2.48,(BEZ)
4u5n,2.31,2015,2.48,(3D4)
5mn1,0.79,2017,2.48,(2AP)
4efk,1.70,2013,2.49,(0OC)
4kz7,1.43,2014,2.49,(1U5)
1ai4,2.35,1997,2.50,(DHY)
3g30,1.80,2009,2.51,(G30)
3gr2,1.80,2009,2.52,(GF4)
3mfv,1.90,2010,2.52,(Z70)
3vdb,2.05,2012,2.52,(149)
4g0q,1.80,2012,2.52,(C5P)
4urz,2.24,2015,2.52,(VJP)
4hj2,2.10,2013,2.53,(LZ6)
3b3s,1.18,2007,2.55,(LEU)
3ovn,1.95,2011,2.55,(MPV)
1gwv,2.50,2003,2.57,(LAT)
3kgp,2.35,2009,2.57,(4AZ)
3gvb,1.80,2009,2.59,(3GV)
4o3c,1.50,2014,2.59,(ASP)
2r5a,2.30,2007,2.60,(MLZ)
4up5,1.65,2014,2.60,(94W)
5g46,1.76,2016,2.60,(6VD)
3f37,1.54,2009,2.62,(2MY)
5lvd,1.25,2017,2.62,(79F)
1ajn,2.36,1997,2.63,(AAN)
4i8x,2.23,2013,2.64,(6P3)
4q7w,1.45,2015,2.64,(6MH)
4q8y,1.45,2015,2.64,(HQT)
4ufl,2.40,2015,2.64,(DZX)
6fhu,2.00,2018,2.64,(3-mer)
5ey0,1.60,2016,2.65,(GTP)
3a1e,1.95,2009,2.66,(ACP)
3lvw,2.50,2010,2.67,(GSH)
4b3c,1.90,2013,2.68,(5H1)
4b3d,1.59,2013,2.68,(5MI)
3elc,2.50,2009,2.69,(F01)
2fzc,2.10,2006,2.70,(EOP)
2uyn,1.60,2007,2.70,(2KT)
3bra,2.30,2008,2.70,(AEF)
6nmb,2.30,2019,2.70,(AMH)
1pfu,1.91,2004,2.72,(MPJ)
2rkd,1.90,2008,2.72,(3PP)
5fsx,2.00,2016,2.72,(ADP)
2qwb,2.00,1998,2.74,(SIA)
2vyt,1.90,2008,2.74,(MLZ)
4m6u,1.80,2014,2.74,(TTN)
4ndu,1.30,2014,2.74,(AMG)
5os2,1.92,2017,2.74,(A7K)
1rql,2.40,2004,2.75,(VSO)
4bt5,1.10,2013,2.76,(23B)
5er4,1.81,2016,2.76,(5RL)
2bet,2.20,2004,2.77,(DEZ)
3fcq,1.75,2009,2.77,(M3S)
4kz3,1.67,2014,2.77,(1U1)
4ykk,1.38,2015,2.77,(DSN)
6g24,2.10,2019,2.77,(EH2)
5os4,1.88,2017,2.78,(A8H)
2bza,1.90,1999,2.80,(ABN)
5fbi,1.47,2016,2.80,(5WD)
5fov,1.74,2016,2.80,(6-mer)
3djx,1.69,2009,2.81,(C5P)
4rrg,1.93,2015,2.81,(A3T)
3lka,1.80,2010,2.82,(M4S)
3ppr,2.10,2011,2.82,(4CS)
4dsu,1.70,2012,2.82,(BZI)
4k7i,2.25,2014,2.82,(CAQ)
6mj7,1.41,2018,2.82,(ARG)
3zt2,1.70,2012,2.84,(ZT2)
3udh,1.70,2012,2.85,(091)
5th4,1.47,2017,2.85,(BEW)
3zt3,1.95,2012,2.86,(ZT4)
1cet,2.05,1999,2.89,(CLQ)
1iih,2.20,2001,2.89,(3PG)
3g31,1.70,2009,2.89,(GF1)
4b35,1.40,2013,2.89,(4ME)
4gqq,1.35,2012,2.89,(0XR)
4llx,1.75,2014,2.89,(5ZE)
5flt,1.67,2016,2.89,(VJJ)
5ngz,2.40,2017,2.89,(2BG)
5orv,1.88,2017,2.89,(A65)
6b7b,1.98,2017,2.89,(CWJ)
3c2u,1.30,2008,2.90,(B3P)
1h2k,2.15,2002,2.92,(OGA)
2fw6,1.85,2006,2.92,(CIT)
3alt,2.50,2011,2.92,(MLB)
3k8c,2.10,2010,2.92,(RES)
4ai5,2.22,2012,2.92,(ADK)
4ef6,1.94,2013,2.92,(I2E)
4lm3,1.49,2014,2.92,(9ZE)
4y2q,2.40,2015,2.92,(49N)
5ct2,2.00,2015,2.92,(CXS)
6fv4,1.97,2018,2.92,(16G)
1tng,1.80,1994,2.93,(AMC)
4zv2,1.43,2016,2.93,(GLN)
2vmc,1.90,2008,2.94,(NGA)
1f4e,1.90,2000,2.96,(TPR)
2w8j,1.50,2009,2.96,(PLS)
3g34,1.31,2009,2.96,(1CE)
3imc,1.60,2009,2.96,(BZ3)
4dst,2.30,2012,2.96,(9LI)
4mrg,1.69,2014,2.96,(24W)
4owm,1.99,2014,2.96,(3F0)
5fng,2.05,2016,2.96,(YIE)
6r9x,1.66,2019,2.96,(JW2)
4ceb,1.75,2013,2.97,(ZSV)
5flq,1.70,2016,2.97,(IO2)
3ckb,2.30,2008,2.98,(MLR)
3djq,1.53,2009,2.98,(UDP)
4ibc,1.75,2014,2.98,(12G)
5aba,1.62,2015,2.98,(UL7)
4bps,1.08,2013,2.99,(3EB)
1ecq,2.00,2000,3.00,(DXG)
1ws4,1.90,2005,3.00,(GYP)
2q8h,2.00,2007,3.00,(TF4)
2rka,1.95,2008,3.00,(PGA)
2v3u,1.74,2007,3.00,(DSN)
3ime,2.39,2009,3.00,(BZ2)
4b2i,1.30,2013,3.00,(LZ1)
4k0o,2.15,2013,3.00,(NAG-MBG)
4l51,1.90,2013,3.00,(HSX)
4llk,1.55,2014,3.00,(MEW)
4r3w,1.91,2014,3.00,(A2P)
4u0w,2.00,2015,3.00,(16G)
5ehw,1.39,2016,3.00,(5OO)
6ftz,1.67,2018,3.00,(E7E)
6quv,1.48,2019,3.00,(JJN)
1utm,1.50,2004,3.01,(PEA)
4g0p,1.80,2012,3.01,(U5P)
2vmd,1.90,2008,3.02,(MBG)
4q81,1.55,2015,3.02,(7MH)
1ogd,1.95,2003,3.03,(RIP)
2ha3,2.25,2006,3.03,(CHT)
4lm2,1.55,2014,3.03,(8ZE)
4qp2,2.23,2015,3.03,(36R)
5aoi,1.78,2015,3.03,(RZH)
1rtf,2.30,1997,3.04,(BEN)
3t08,2.00,2012,3.04,(IPT)
3t1m,1.55,2011,3.04,(DQT)
4i7k,1.72,2013,3.04,(MBN)
4lm4,1.48,2014,3.04,(JPZ)
5fls,1.67,2016,3.04,(6ZX)
1f74,1.60,2000,3.05,(NAY)
1uj5,2.00,2004,3.05,(5RP)
4g5f,2.33,2013,3.05,(0JD)
6ncn,1.82,2019,3.05,(KJM)
1rnm,2.00,1996,3.07,(C5P)
3mof,1.75,2010,3.07,(OXL)
6fh3,1.85,2019,3.07,(RPI)
1y1z,1.50,2005,3.08,(192)
5ehv,1.21,2016,3.08,(5ON)
1ec9,2.00,2000,3.10,(XYH)
2xdl,1.98,2010,3.10,(2DL)
3buf,2.30,2008,3.10,(AEG)
3f78,1.60,2009,3.10,(ICF)
4cjr,1.80,2014,3.10,(FYM)
4kz6,1.68,2014,3.10,(ZB6)
5eh8,1.38,2016,3.10,(5O6)
5orw,2.00,2017,3.10,(A6E)
3c2r,2.40,2008,3.11,(PHT)
4bt3,1.10,2013,3.12,(WTZ)
4cgi,2.07,2013,3.12,(NZL)
5ey4,1.86,2016,3.12,(DTP)
1ax0,1.90,1998,3.13,(A2G)
5c5t,1.60,2015,3.13,(AKG)
6d1k,1.20,2019,3.13,(M3Q)
2ya7,1.89,2011,3.14,(ZMR)
4b34,1.55,2013,3.14,(ABV)
6g27,1.65,2019,3.14,(EHE)
1e6q,1.35,2001,3.15,(NTZ)
4de5,2.25,2013,3.15,(0JD)
4fzj,1.63,2013,3.15,(0W1)
5flo,1.66,2016,3.15,(J4K)
5fnf,2.10,2016,3.15,(TQL)
6a87,2.41,2019,3.15,(2-mer)
2ymd,1.96,2012,3.16,(SRO)
3f34,1.68,2009,3.16,(DIE)
5fot,1.19,2016,3.17,(6-mer)
5fox,1.30,2016,3.17,(6-mer)
5ose,1.90,2017,3.17,(A98)
1lbk,1.86,2002,3.18,(GSH)
3bug,2.50,2008,3.18,(AEH)
3g1v,1.30,2009,3.19,(5FU)
4gzx,2.45,2012,3.19,(2-mer)
6dyn,2.10,2019,3.19,(HSM)
6ssy,1.62,2019,3.19,(P7I)
5cs6,1.88,2016,3.20,(K82)
5ijr,1.52,2017,3.20,(HRG)
1s5z,2.00,2005,3.21,(SON)
1br6,2.30,1998,3.22,(PT1)
1e6s,1.35,2000,3.22,(GOX)
1ew9,2.00,2002,3.22,(MMQ)
1k1y,2.40,2003,3.22,(ACR)
1zc9,2.00,2006,3.22,(PMP)
2ri9,1.95,2008,3.22,(LDY)
2uy3,1.90,2007,3.22,(H33)
4n5d,2.06,2013,3.22,(2FQ)
1px4,1.60,2004,3.23,(IPT)
3zsy,2.20,2012,3.23,(OM3)
4lm1,1.60,2014,3.23,(7ZE)
4unp,2.30,2015,3.23,(TXW)
5qay,1.70,2018,3.23,(X6P)
3qfz,2.39,2011,3.24,(NOJ-SO4)
4b2l,1.50,2013,3.24,(TR7)
4qlk,1.83,2015,3.24,(CTT)
1v2j,1.90,2004,3.25,(BEN)
3ta1,1.90,2011,3.25,(ADP)
4lm0,1.66,2014,3.25,(5NI)
5yas,2.20,1999,3.26,(FAC)
3ioe,1.95,2009,3.27,(A7D)
1bcu,2.00,1998,3.28,(PRL)
3d52,1.60,2008,3.28,(GHR)
3tfu,1.94,2011,3.28,(PL8)
3zsx,1.95,2012,3.28,(N44)
4fl1,1.79,2012,3.28,(ANP)
5duw,1.70,2016,3.29,(5GO)
6ibk,1.99,2019,3.29,(YTW)
1d7j,1.85,1999,3.30,(BUQ)
1phw,2.36,2004,3.30,(__N)
1tpw,1.90,1995,3.30,(PGH)
2vw2,1.70,2008,3.30,(NHE)
3aaq,2.00,2010,3.30,(ARU)
3hcm,2.00,2010,3.30,(S45)
4ddh,2.07,2013,3.30,(MS0)
4jss,1.50,2013,3.30,(BEW)
4mrw,1.96,2014,3.30,(MRW)
4msa,1.62,2014,3.30,(2ZM)
4np3,1.61,2014,3.30,(2L2)
5g45,2.07,2016,3.30,(A7W)
1i2s,1.70,2002,3.31,(CIT)
1pzp,1.45,2004,3.31,(FTA)
5fe7,2.08,2016,3.31,(5WU)
2wk6,2.50,2009,3.32,(IUR)
4cjp,2.00,2014,3.32,(4D2)
4i7j,1.67,2013,3.32,(BNZ)
6efj,1.65,2019,3.32,(O5E)
6pg3,2.04,2019,3.32,(OHJ)
6phx,2.00,2019,3.32,(3-mer)
188l,1.80,1995,3.33,(OXE)
1jlr,2.45,2002,3.33,(GTP)
4ab9,1.20,2012,3.33,(VXQ)
4b0b,1.90,2012,3.33,(54F)
4b5t,1.92,2012,3.33,(2KT)
4b5w,1.79,2012,3.33,(PYR)
3f33,1.70,2009,3.34,(PFL)
4b32,1.50,2013,3.34,(03V)
4bt4,1.60,2013,3.34,(QFH)
4cp5,2.32,2015,3.34,(EOI)
3c2o,2.30,2008,3.35,(NTM)
3pwk,1.50,2012,3.35,(L14)
4lkq,1.62,2014,3.35,(1XM)
4cj4,1.80,2014,3.36,(S3G)
187l,1.80,1995,3.37,(PXY)
1tnh,1.80,1994,3.37,(FBA)
1v2u,1.80,2004,3.37,(BEN)
3d8z,1.98,2009,3.37,(TXS)
3n35,2.00,2011,3.37,(A2G)
4b33,1.50,2013,3.37,(1NP)
6mnv,1.65,2019,3.37,(JVS)
2fzg,2.25,2006,3.38,(EOB)
3tay,1.85,2012,3.38,(MN0)
3w07,1.03,2013,3.38,(U5P)
4qll,1.85,2015,3.38,(CTT)
4ipn,2.41,2013,3.39,(1FT)
4lhm,1.52,2014,3.39,(AZZ)
5lsh,1.06,2017,3.39,(KTS)
5os5,1.74,2017,3.39,(A8K)
1bxr,2.10,1999,3.40,(ANP)
1f8d,1.40,2001,3.40,(9AM)
1ikt,1.75,2001,3.40,(OXN)
1l83,1.70,1993,3.40,(BNZ)
1m83,2.20,2002,3.40,(ATP)
1uz4,1.71,2004,3.40,(IFL)
3jzh,2.05,2009,3.40,(5-mer)
4abe,1.30,2012,3.40,(913)
2v2c,1.89,2008,3.41,(PGA)
2qtn,2.40,2008,3.42,(NCN)
2sim,1.60,1994,3.42,(DAN)
2w08,1.70,2009,3.42,(TPO)
3iob,1.80,2009,3.42,(A4D)
4llj,1.56,2014,3.42,(1XN)
4n8q,2.08,2014,3.42,(FA0)
2xog,1.72,2011,3.43,(SFB)
3axz,2.25,2011,3.43,(ADN)
5osl,1.95,2018,3.43,(A9K)
4umc,2.34,2014,3.44,(PEQ)
6exs,2.50,2018,3.44,(C3H)
3nik,1.85,2010,3.45,(4-mer)
1moq,1.57,1998,3.46,(GLP)
3muz,1.90,2011,3.46,(IPT)
4k5p,1.85,2013,3.46,(1OS)
4tz2,1.70,2014,3.46,(39R)
5qal,1.95,2018,3.46,(TVZ)
6hgr,1.52,2019,3.46,(IMP)
6q4e,1.06,2019,3.46,(HH5)
3ta0,2.30,2011,3.47,(ATP)
4epy,1.80,2012,3.47,(0QY)
4h42,2.01,2013,3.47,(11E)
5ma7,1.30,2017,3.47,(7K0)
6pvz,1.99,2019,3.47,(OZM)
2p3i,1.75,2008,3.48,(MNA)
3g1d,1.50,2009,3.48,(U)
3gx0,2.30,2009,3.48,(GDS)
3nyd,1.23,2011,3.48,(3NY)
4k7n,2.30,2014,3.48,(MCT)
5eh7,1.43,2016,3.48,(5O5)
5xg5,1.54,2017,3.48,(A2G)
1c5o,1.90,2000,3.49,(BAM)
1utn,1.15,2004,3.49,(ABN)
4avs,1.40,2013,3.49,(N7P)
4b5s,1.68,2012,3.49,(PYR)
5fnd,2.00,2016,3.49,(IQ5)
6d9x,1.83,2018,3.49,(FZM)
6poi,1.77,2019,3.49,(OVS)
4i7p,1.60,2013,3.50,(ES3)
2r0h,1.90,2008,3.51,(CTO)
5cp9,1.90,2015,3.51,(6O5)
5h1u,1.90,2017,3.51,(6KT)
5mby,1.55,2017,3.51,(PRO)
1jys,1.90,2002,3.52,(ADE)
2j27,1.15,2007,3.52,(PGA)
2vw1,2.39,2008,3.52,(DAN)
3mfw,1.47,2010,3.52,(B3U)
4mrz,1.58,2014,3.52,(2ZV)
5mod,2.08,2017,3.52,(86L)
6g25,1.43,2019,3.52,(EHQ)
185l,1.80,1995,3.54,(IND)
1v2r,1.70,2004,3.55,(ANH)
2cle,1.50,2007,3.55,(F6F)
2qwc,1.60,1998,3.55,(DAN)
4aji,1.93,2012,3.55,(88R)
5btx,2.10,2015,3.55,(CMP)
5fpk,1.34,2016,3.55,(6-mer)
1h46,1.52,2003,3.57,(RNP)
1np0,2.50,2003,3.57,(NGT)
3ff3,1.37,2009,3.57,(GLU)
4abg,1.52,2012,3.57,(91B)
4ck3,1.79,2014,3.57,(K1T)
4ibb,1.75,2014,3.57,(1DK)
4q8x,1.55,2015,3.57,(7FH)
5a7b,1.40,2015,3.57,(KMN)
3dx1,1.21,2009,3.58,(YHO)
6gjm,1.35,2018,3.58,(L36)
1nli,1.93,2003,3.59,(ADE)
2gsu,2.00,2006,3.59,(AMP)
4cjq,1.70,2014,3.59,(VXO)
4q7v,1.60,2015,3.59,(5MH)
5mxf,1.90,2017,3.59,(MFU)
6dpz,1.50,2018,3.59,(H7D)
6p8a,1.80,2019,3.59,(O4D)
6pg4,1.60,2019,3.59,(OHG)
1d7i,1.90,1999,3.60,(DSS)
2fzk,2.50,2006,3.60,(EOZ)
2qpu,1.70,2008,3.60,(QPU)
2xdk,1.97,2010,3.60,(XDK)
3b3x,2.50,2007,3.60,(A33)
3g0i,2.10,2009,3.60,(VPR)
3jdw,2.40,1998,3.60,(ORN)
4b3b,1.19,2013,3.60,(6-mer)
4c1y,2.23,2014,3.60,(MFB)
5dqf,2.15,2015,3.60,(CZE)
5lvr,2.05,2016,3.60,(78Y)
3jzj,1.40,2010,3.61,(ACR)
3sk2,1.01,2011,3.61,(GRI)
5lud,1.25,2017,3.61,(76X)
5oqu,2.32,2018,3.61,(A4B)
1pb9,1.60,2003,3.62,(4AX)
4bkt,2.35,2013,3.62,(QD0)
4rrf,1.70,2015,3.62,(A3S)
6mll,1.86,2019,3.62,(N1G)
6pge,1.76,2019,3.62,(OJM)
5dqe,2.18,2015,3.63,(5E4)
5ork,2.14,2018,3.63,(A4T)
1gyy,1.35,2002,3.64,(FHC)
2azr,2.00,2005,3.64,(982)
2rk8,2.00,2008,3.64,(PPF)
4iuo,1.80,2013,3.64,(QIC)
4agl,1.70,2012,3.65,(P84)
5yum,2.43,2018,3.65,(ILE)
2v00,1.55,2007,3.66,(V15)
3buh,2.30,2008,3.66,(AED)
3oy8,2.19,2010,3.66,(2-mer)
3pcn,2.40,1998,3.66,(DHY)
3t2q,2.40,2012,3.66,(149)
4aia,1.80,2012,3.66,(ADK)
4fl2,2.19,2012,3.66,(ANP)
5m17,1.03,2017,3.66,(2-mer)
5nzn,1.73,2018,3.66,(G39)
6cq1,1.70,2019,3.66,(F8J)
6dyr,2.45,2019,3.66,(HJD)
4cig,1.70,2014,3.67,(X0P)
4ibd,1.84,2014,3.67,(1DL)
5fog,2.30,2016,3.67,(VRT)
5fol,1.77,2016,3.67,(SO8)
1c3x,2.40,1999,3.68,(8IG)
2x6x,1.48,2011,3.68,(6-mer)
3ioc,2.50,2009,3.68,(A5D)
3isj,2.20,2009,3.68,(A8D)
4aje,2.35,2012,3.68,(2B4)
4io7,1.92,2013,3.68,(PHE)
4isu,2.30,2013,3.68,(IKM)
6cfc,2.04,2018,3.68,(BLG)
2a8g,1.99,2006,3.69,(GNG)
4ovg,1.90,2014,3.69,(2VF)
4tte,1.80,2014,3.69,(36Z)
5dkn,1.53,2016,3.69,(B7I)
5os7,1.66,2018,3.69,(A8Q)
6gg4,2.46,2018,3.69,(PHE)
1loq,1.50,2002,3.70,(U)
1pdz,2.20,1995,3.70,(PGA)
1wht,2.00,1994,3.70,(BZS)
2bvr,1.25,2006,3.70,(4CP)
2fx6,1.57,2006,3.70,(270)
3l59,2.00,2010,3.70,(BDJ)
3n7a,2.00,2011,3.70,(FA1)
5j41,1.19,2016,3.70,(2-mer)
6gjj,1.38,2018,3.70,(L36)
6mlp,1.49,2019,3.70,(ARG)
6pg6,1.68,2019,3.70,(OH7)
2vfk,1.50,2008,3.71,(AMP)
3fj7,1.70,2009,3.71,(PEQ)
3g32,1.31,2009,3.71,(3G3)
1ai5,2.36,1997,3.72,(MNP)
1grp,2.50,1996,3.72,(ICT)
2am4,1.70,2006,3.72,(U2F)
2r23,1.65,2008,3.72,(2-mer)
3f5l,1.37,2009,3.72,(LB2)
3q6z,2.23,2011,3.72,(APR)
4tln,2.30,1982,3.72,(LNO)
4ufm,2.40,2015,3.72,(DGJ)
6d1h,1.25,2019,3.72,(KED)
3fjg,2.20,2009,3.73,(3PG)
4fz3,2.10,2013,3.73,(6-mer)
6iou,2.10,2019,3.73,(SER)
1f5k,1.80,2001,3.74,(BAM)
2wq5,1.65,2010,3.74,(MIY)
4yk0,1.65,2016,3.74,(98)
6gjr,1.69,2018,3.74,(F0W)
3d6p,1.60,2009,3.75,(U2S)
2x09,2.40,2010,3.76,(X09)
4tu4,1.73,2014,3.76,(37N)
4w52,1.50,2015,3.76,(BNZ)
1kui,1.50,2002,3.77,(3-mer)
2v2h,1.18,2008,3.77,(PGA)
3ao2,1.80,2011,3.77,(AVX)
4q46,1.80,2015,3.77,(GDP)
5qa8,2.50,2018,3.77,(JSX)
6euc,2.22,2018,3.77,(RM0)
6fuh,1.37,2018,3.77,(E88)
6hgs,1.55,2019,3.77,(5GP)
3nq3,1.90,2010,3.78,(DKA)
2clk,1.50,2007,3.79,(G3H)
1kug,1.37,2002,3.80,(3-mer)
1li6,2.00,2002,3.80,(5MP)
1nje,2.30,1996,3.80,(DCM)
2hb1,2.00,2006,3.80,(512)
3t09,1.75,2012,3.80,(149)
4ajl,1.77,2012,3.80,(88W)
5h1t,1.95,2017,3.80,(7FF)
5uf0,1.35,2017,3.80,(89J)
6g2b,1.61,2019,3.80,(EH8)
2hu6,1.32,2006,3.81,(37A)
3ai8,2.11,2011,3.81,(HNQ)
1hn4,1.50,2001,3.82,(MJI)
4aba,1.25,2012,3.82,(SW1)
4bks,2.20,2013,3.82,(X6C)
4keq,2.28,2014,3.82,(5PN)
4mmm,1.47,2014,3.82,(BP7)
6e1z,1.10,2019,3.82,(HLP)
1j16,1.60,2002,3.84,(BEN)
1utj,1.83,2004,3.84,(ABN)
3lzz,2.50,2010,3.84,(GDP)
5mnn,.86,2018,3.84,(MRZ)
2wzs,2.25,2009,3.85,(MVL)
2yb0,2.28,2011,3.85,(DUR)
3mv0,2.20,2011,3.85,(149)
4kiu,2.40,2014,3.85,(KIU)
5btv,1.70,2016,3.85,(4-mer)
6pg8,1.67,2019,3.85,(OGY)
3spf,1.70,2012,3.86,(B50)
4i9u,2.50,2013,3.86,(1E7)
5g4m,1.38,2016,3.86,(O82)
5ldm,2.46,2017,3.86,(2AM)
5oh9,1.65,2018,3.86,(9UT)
6gjl,1.16,2018,3.86,(F1Q)
1aj7,2.10,1997,3.87,(NPE)
1v16,1.90,2004,3.87,(TDP)
3w5n,1.80,2013,3.87,(RAM)
3wjw,1.59,2013,3.87,(U6M)
4nbk,1.94,2014,3.87,(2J5)
5oh3,2.10,2018,3.87,(9V2)
6gji,1.60,2018,3.87,(F1E)
3si4,1.27,2012,3.88,(B04)
4mjp,1.85,2013,3.88,(27O)
5eqe,2.40,2016,3.88,(5R8)
1m0q,2.00,2002,3.89,(EPC)
2ctc,1.40,1994,3.89,(HFA)
3iae,2.30,2010,3.89,(D7K)
4aj4,1.90,2012,3.89,(VAB)
4nl1,2.30,2014,3.89,(Z13)
4ufk,2.40,2015,3.89,(LDU)
1avn,2.00,1997,3.90,(HSM)
2gvv,1.73,2006,3.90,(DI9)
2qw1,1.70,2008,3.90,(3MG)
2rkm,1.80,1997,3.90,(2-mer)
2vhj,1.80,2007,3.90,(ADP)
2vuk,1.50,2008,3.90,(P83)
2wor,1.70,2009,3.90,(2AN)
2wos,1.70,2009,3.90,(6AN)
4n9c,1.75,2014,3.90,(2ZM)
4qgi,1.90,2014,3.90,(ROC)
6c85,2.40,2019,3.90,(PLQ)
1kuk,1.45,2002,3.91,(3-mer)
6d1b,1.25,2019,3.91,(FUJ)
1pr5,2.50,2003,3.92,(TBN)
3ap4,2.33,2011,3.92,(LBT)
3twp,1.83,2012,3.92,(SAL)
6g9x,2.30,2019,3.92,(JKE)
6hzy,1.70,2019,3.92,(GYZ)
1h5v,1.10,2002,3.93,(5-mer)
2a5b,2.49,2006,3.93,(8HG)
2cbz,1.50,2006,3.93,(ATP)
6g9i,2.19,2018,3.93,(CXX)
1v1m,2.00,2004,3.94,(TDP)
2v3d,1.96,2007,3.94,(NBV)
4bi6,1.45,2013,3.95,(PGA)
5fou,1.50,2016,3.95,(6-mer)
5m5d,1.07,2017,3.95,(2-mer)
6cbg,2.00,2018,3.95,(EWG)
6jaq,1.95,2019,3.95,(GLC)
1mrs,2.00,2003,3.96,(5HU)
2fpz,2.00,2006,3.96,(270)
2wec,1.50,1998,3.96,(PP5)
3c39,1.85,2008,3.96,(3PG)
3gt9,1.70,2010,3.96,(516)
4gqr,1.20,2012,3.96,(MYC)
4agn,1.60,2012,3.97,(NXG)
4ibg,1.41,2014,3.97,(1D6)
1v11,1.95,2004,3.98,(TDP)
3b3c,1.46,2007,3.98,(PLU)
4agm,1.52,2012,3.98,(P86)
5os8,1.55,2018,3.98,(J27)
5yj8,1.76,2018,3.98,(8W9)
6rih,2.15,2019,3.98,(K4T)
1rpf,2.20,1994,3.99,(C3P)
4i7l,1.52,2013,3.99,(IPH)
1e5j,1.85,2001,4.00,(4-mer)
1lgw,1.85,2002,4.00,(1AN)
1tni,1.90,1994,4.00,(PBN)
1wc1,1.93,2004,4.00,(TAT)
2buv,1.80,2006,4.00,(DHB)
2ot1,2.05,2007,4.00,(N3P)
2qrl,1.60,2007,4.00,(OGA)
2rin,1.80,2008,4.00,(ACH)
2whp,2.20,2009,4.00,(HI6)
3a1c,1.85,2009,4.00,(ACP)
3ijh,2.10,2009,4.00,(KO2)
3vd9,2.05,2012,4.00,(IPT)
4p6c,1.86,2015,4.00,(RES)
4umb,2.17,2014,4.00,(0V5)
5g4n,1.35,2016,4.00,(O83)
5h1v,2.00,2017,4.00,(7FU)
5mgk,2.30,2017,4.00,(7MW)
5wcm,1.20,2017,4.00,(4NZ)
1v2w,1.75,2004,4.01,(ANH)
3fzn,1.62,2009,4.01,(D7K)
2wvz,2.40,2009,4.02,(KIF)
3po1,1.65,2011,4.02,(MKY)
5vsj,2.46,2017,4.02,(9HV)
2q8m,2.05,2007,4.03,(AMP)
2x96,1.85,2010,4.03,(RX3)
